epoch,loss,test_acc_top1,test_acc_top5
1,1.7446895593251937,33.253204,87.27965
2,0.9499132419243838,66.60657,97.23558
3,0.6627876189274665,77.183495,98.55769
4,0.5961729385531865,80.128204,98.9383
5,0.5927977628814869,81.73077,99.03846
6,0.6019762574862211,82.51202,99.07853
7,0.5982327518554834,83.333336,99.13862
8,0.6019000645058278,83.934296,99.17869
9,0.6016621307875866,84.59535,99.058495
10,0.5867495469940014,85.3766,99.11859
11,0.5784477155942184,85.677086,99.15865
12,0.5709868207191809,86.31811,99.25881
13,0.5666223956415286,86.41827,99.25881
14,0.5568808709772733,86.79888,99.39904
15,0.552488984205784,87.13942,99.35897
16,0.5378796783013221,87.39984,99.379005
