epoch,loss,test_acc_top1,test_acc_top5
1,1.7817393036989064,32.371796,86.07772
2,0.9765432950777885,65.1242,97.215546
3,0.67998212766953,76.121796,98.4375
4,0.613781750966341,79.72756,98.89824
5,0.5984040059340305,81.53045,98.9383
6,0.5981658905362471,82.552086,99.03846
7,0.600481489338936,83.3133,99.13862
8,0.6001330650387666,83.934296,99.13862
9,0.5935981823847845,84.25481,99.15865
10,0.5934311764744612,85.03606,99.21875
11,0.5858675808860705,85.07612,99.29888
12,0.580811528250193,85.63702,99.31891
13,0.5745287054242232,85.65705,99.35897
14,0.5624098166441306,86.05769,99.45914
15,0.5570445660597239,86.35817,99.41907
16,0.5438423712666218,86.9391,99.33894
