epoch,loss,test_acc_top1,test_acc_top5
1,1.8316171383246398,31.450321,83.95433
2,1.2299814377075586,55.94952,95.3726
3,0.8562810287261621,70.8133,97.69631
4,0.6733194203713001,77.30369,98.57772
5,0.5949491594846432,80.32853,98.97836
6,0.5654328694710364,81.97115,99.17869
7,0.5517112733079836,83.05289,99.15865
8,0.5404508604835241,83.8141,99.31891
9,0.5330121331872084,84.51522,99.31891
10,0.5290633676907955,85.39664,99.31891
11,0.5230125983556112,85.65705,99.39904
12,0.5155132174109801,85.9976,99.41907
13,0.5148697797304544,86.29808,99.53926
14,0.5073045054689432,86.67869,99.4391
15,0.5030853857214634,86.71875,99.39904
16,0.49465464122402364,86.879005,99.4992
