epoch,loss,test_acc_top1,test_acc_top5
1,1.7631596586643121,35.476765,85.01603
2,1.0735495648322961,62.540066,96.41426
3,0.7705318133036295,73.417465,98.19711
4,0.6263065284643418,78.24519,98.91827
5,0.5691861810210423,80.88942,99.11859
6,0.5401600257326395,82.8125,99.15865
7,0.5210084605675477,83.41346,99.25881
8,0.5142273459679041,84.55529,99.33894
9,0.5049480329721402,85.05609,99.35897
10,0.5047546890683663,85.75721,99.45914
11,0.5000212639570236,85.9375,99.33894
12,0.4985782435307136,86.05769,99.379005
13,0.49807606140772503,86.15785,99.479164
14,0.48671834304546696,86.738785,99.4391
15,0.4833527974402293,87.059296,99.479164
16,0.47880776560841465,87.25961,99.479164
