epoch,loss,test_acc_top1,test_acc_top5
1,1.6245104792790535,41.185898,91.666664
2,1.0206507536081166,64.26282,96.51442
3,0.7591790946630331,73.61779,97.85657
4,0.6423960228761038,78.08494,98.73798
5,0.590418333808581,80.70914,98.958336
6,0.5566124088871174,82.43189,99.21875
7,0.5352544765441846,83.79407,99.39904
8,0.5208174467850955,84.535255,99.379005
9,0.5118486193510202,85.21635,99.4992
10,0.5082361451708354,85.25641,99.53926
11,0.5022042823525575,85.73718,99.53926
12,0.4944542793509288,85.79728,99.51923
13,0.48645062152391827,86.33814,99.57933
14,0.47700729412146103,86.698715,99.4992
15,0.4686296461866452,87.09936,99.59936
16,0.4570058997816,87.68029,99.57933
