epoch,loss,test_acc_top1,test_acc_top5
1,1.6517551006414952,39.803684,91.10577
2,1.0549158904796991,62.78045,96.51442
3,0.7862055783088391,73.11699,98.11699
4,0.6384243896374335,77.80449,98.79808
5,0.5763326619680111,81.04968,99.058495
6,0.552618336601135,82.35176,99.13862
7,0.5407037286040111,83.153046,99.17869
8,0.5281038723694973,84.3149,99.238785
9,0.5233360437246469,84.65545,99.35897
10,0.5238710913138512,84.77564,99.379005
11,0.5185978894050305,85.496796,99.379005
12,0.5196041999719082,85.777245,99.4992
13,0.5066929299097794,86.29808,99.51923
14,0.49832439499023634,86.4383,99.559296
15,0.4921114097038905,86.81891,99.51923
16,0.48989865260246473,87.13942,99.4992
