epoch,loss,test_acc_top1,test_acc_top5
1,1.6819152205418317,38.501602,91.88702
2,1.0575591172927465,62.159454,96.91506
3,0.7371621001989414,74.45914,98.35737
4,0.6102756735606071,79.32692,98.778046
5,0.5599613820131009,81.65064,99.01843
6,0.5408329484172356,82.99279,99.17869
7,0.5306563239831191,83.854164,99.21875
8,0.518273243919397,85.05609,99.31891
9,0.5119977671748552,85.09615,99.39904
10,0.5061291813468322,85.8774,99.4391
11,0.49637412547301024,86.29808,99.51923
12,0.4874531267545162,86.698715,99.45914
