epoch,loss,test_acc_top1,test_acc_top5
1,1.7224801656527398,34.114582,88.58173
2,0.8896806278289893,68.99039,97.85657
3,0.6555832100984378,77.10336,98.778046
4,0.5894848301242559,80.50881,99.09856
5,0.5880970068466969,81.85096,99.13862
6,0.594699777280673,82.77244,99.09856
7,0.5980554884060835,83.573715,99.11859
8,0.6000845829645792,83.99439,99.25881
9,0.5985433193735588,84.715546,99.25881
10,0.5928333318577363,85.19631,99.198715
11,0.5849414647389681,85.35657,99.21875
12,0.5784786679805853,85.917465,99.11859
13,0.562212331363788,85.9976,99.31891
14,0.5686495099694301,86.35817,99.25881
15,0.5651562741169562,86.75881,99.4992
16,0.553437281304445,87.17949,99.4391
