epoch,loss,test_acc_top1,test_acc_top5
1,2.1324169478297232,24.44,70.14
2,1.4869570589482783,49.8,91.28
3,0.9932116079485044,68.34,96.28
4,0.8641199851657264,72.28,96.52
5,0.7995939533395693,75.26,97.04
6,0.7556003779522144,76.7,97.52
7,0.7315886477300897,78.1,97.26
8,0.7068532871253789,79.0,97.48
9,0.6870662991575897,79.94,97.48
10,0.6647874354936183,80.42,97.66
11,0.6561203447829932,80.94,97.68
12,0.6405938910398632,81.6,97.74
13,0.6271957737714052,81.9,97.88
14,0.6263159922122955,82.02,97.94
15,0.6166895927768201,82.54,97.96
16,0.6119898133356124,82.54,98.1
17,0.6151601289786398,82.66,98.18
18,0.602796752120927,82.9,97.94
19,0.5960876889742911,83.16,98.0
20,0.5910088608499616,83.4,98.1
