epoch,loss,test_acc_top1,test_acc_top5
1,2.225650134587288,18.0,66.2
2,1.469442550100386,48.54,92.76
3,0.9726844380354509,69.12,96.8
4,0.8425116381962784,73.2,96.98
5,0.7987952278602868,74.72,97.24
6,0.7702573042795062,76.12,97.26
7,0.7399121126007289,77.74,97.32
8,0.7225769109137357,78.7,97.36
9,0.6982222919162363,79.62,97.44
10,0.677040226495266,79.88,97.62
11,0.6460707612067461,81.16,97.84
12,0.6491900819603353,81.06,97.96
13,0.6339132403984666,81.66,98.2
14,0.6274628143273294,82.06,98.08
15,0.6291797776106745,82.2,97.96
16,0.6199871068693698,82.62,98.06
17,0.6159974261887372,82.86,98.12
18,0.6199850351214409,82.62,98.04
19,0.6081892564684153,82.86,98.18
20,0.593030513811484,83.24,98.52
