epoch,loss,test_acc_top1,test_acc_top5
1,2.0696465816378593,25.7,71.22
2,1.4268820975854992,50.34,93.48
3,0.9749512262549251,68.84,96.46
4,0.8457631508596242,73.1,96.8
5,0.8266412469502539,74.16,97.1
6,0.7944010421646759,75.4,97.24
7,0.7520876856083051,77.44,97.36
8,0.725595350374654,78.06,97.58
9,0.7026269154094159,79.12,97.5
10,0.6783310271102935,80.46,97.84
11,0.6598001606818289,80.88,97.78
12,0.6489501433074474,81.46,97.78
13,0.6441534280113876,81.36,97.82
14,0.6378222997192293,81.8,97.76
15,0.6261983112972229,82.22,97.9
16,0.6240040135748685,82.28,97.84
17,0.6064464834097772,82.68,98.2
18,0.6002672062344849,83.04,98.22
19,0.6005965270586312,83.14,98.24
20,0.5945522321842611,83.16,98.14
