epoch,loss,test_acc_top1,test_acc_top5
1,1.8483246962229412,32.51202,82.71234
2,1.0650154184072445,62.119392,96.67468
3,0.7291611371896206,74.058495,98.4375
4,0.5990441972628618,78.78606,98.97836
5,0.549910015020615,81.63061,99.01843
6,0.5299693021254662,83.153046,99.09856
7,0.5216274515558512,84.07452,99.21875
8,0.5121563518276582,84.57532,99.379005
9,0.5103958720962206,85.11619,99.4391
10,0.5102297929234993,85.65705,99.53926
11,0.5000785751602589,85.97756,99.559296
12,0.4939850471340693,85.9976,99.4992
13,0.4850925325583189,86.4984,99.4992
14,0.48452432558704644,86.91907,99.51923
15,0.472125289722895,87.21955,99.61939
16,0.4676420462246125,87.45994,99.559296
