epoch,loss,test_acc_top1,test_acc_top5
1,2.0925108719825745,25.4,70.42
2,1.4554252915501595,49.82,92.64
3,0.9567355513574556,69.42,96.48
4,0.8339533412022516,73.66,96.82
5,0.8006277570182457,75.36,96.98
6,0.7633673066103831,76.66,97.32
7,0.7431617394676432,77.74,97.5
8,0.7070300388969482,79.04,97.88
9,0.6858623122297227,79.66,97.78
10,0.6754659610342234,80.14,97.82
11,0.6529550484411418,81.12,98.18
12,0.6435997585572303,81.56,97.96
13,0.6387918847378343,81.7,98.08
14,0.6446341094743461,81.66,97.78
15,0.6298246423076839,82.14,97.96
16,0.6149007680766284,82.76,98.24
17,0.6165440543327481,82.82,97.98
18,0.6026776716761291,83.16,98.26
19,0.6064647533230484,82.98,97.98
20,0.6047306411355734,83.1,97.96
