epoch,loss,test_acc_top1,test_acc_top5
1,2.188736772549152,16.88,70.16
2,1.4694103547677397,48.78,93.0
3,0.9601577920237556,68.3,96.72
4,0.8389337437933311,73.14,96.98
5,0.7941960353801027,75.06,97.02
6,0.7516250824514776,76.94,97.28
7,0.7239551950968802,77.94,97.28
8,0.6953071241728962,79.26,97.46
9,0.6758702219031751,79.72,97.6
10,0.6566817608226091,80.52,97.62
11,0.6476600670740008,81.14,97.76
12,0.632230652749911,81.84,97.88
13,0.6292519694902002,81.68,97.86
14,0.6186385599710047,82.6,97.9
15,0.62508703083992,82.24,97.82
16,0.6228132322967053,82.52,97.62
17,0.6140459383644163,82.54,97.94
18,0.6162036834277212,82.7,97.94
19,0.6095238348528743,82.76,97.9
20,0.6033020445903763,83.06,98.04
