epoch,loss,test_acc_top1,test_acc_top5
1,1.7118105704967792,35.9375,88.70192
2,0.9570508843813187,65.284454,97.23558
3,0.6916567167410483,76.18189,98.33734
4,0.6235522704246717,79.707535,98.71795
5,0.6156591906761512,81.25,98.9984
6,0.6109224426058623,82.652245,99.058495
7,0.615327866986776,83.47356,99.17869
8,0.6120484660451229,83.91426,99.198715
9,0.6132736624433444,84.41506,99.198715
10,0.612099365164072,84.79567,99.198715
11,0.5990175436704587,85.23638,99.13862
12,0.5937236782449943,85.57692,99.25881
13,0.5833019291361173,86.05769,99.25881
14,0.5684139359837923,86.17789,99.379005
15,0.5531167770043398,86.75881,99.27885
16,0.5528378943220164,86.9391,99.4391
