epoch,loss,test_acc_top1,test_acc_top5
1,1.7721736675653703,32.51202,86.29808
2,0.9242610335350037,67.58814,97.495995
3,0.6753574044276507,76.26202,98.61779
4,0.6222558562190105,79.22676,98.878204
5,0.6133145357553775,80.909454,99.07853
6,0.6133655123412609,82.552086,99.09856
7,0.6117802392213773,83.65385,99.07853
8,0.6103945136643373,84.09455,99.17869
9,0.6152433558152273,84.4351,99.25881
10,0.6027736124128867,84.91586,99.21875
11,0.5921064130006692,85.55689,99.31891
12,0.5891486163704823,85.79728,99.39904
13,0.5785208630065123,86.33814,99.31891
14,0.5668856075558907,86.85897,99.31891
15,0.5604740885587839,86.79888,99.379005
16,0.5394536474576364,87.21955,99.39904
