epoch,loss,test_acc_top1,test_acc_top5
1,1.721977935387538,35.216347,88.541664
2,0.9180697546555445,67.84856,97.25561
3,0.6987713162715619,76.20192,98.35737
4,0.6448029065743471,79.246796,98.97836
5,0.6273634097515008,80.84936,99.09856
6,0.6273323190517914,82.17147,99.198715
7,0.6185162917543681,82.89263,99.15865
8,0.6162517265631602,83.59375,99.25881
9,0.6044317468618735,84.13461,99.31891
10,0.6060464496795948,84.535255,99.29888
11,0.5991789129299995,84.91586,99.27885
12,0.5866379978565069,85.29647,99.39904
13,0.5664946285960002,85.917465,99.4391
14,0.5688685436661427,85.957535,99.379005
15,0.5648401803695239,86.21795,99.41907
16,0.5548055043969399,86.83894,99.479164
