epoch,loss,test_acc_top1,test_acc_top5
1,1.8237188076361632,31.390224,86.197914
2,1.1606986132951884,57.952724,95.8133
3,0.7820971952034876,71.67468,98.19711
4,0.6170605535690601,78.36539,98.958336
5,0.5541068793107302,81.71074,99.13862
6,0.5300998366796054,83.53365,99.33894
7,0.5246941298246384,84.4351,99.29888
8,0.51832042577175,85.25641,99.41907
9,0.5136914532154034,85.47676,99.4391
10,0.49809337044373536,86.13782,99.4391
11,0.4927731189781275,86.4383,99.45914
12,0.48783129224410426,86.77885,99.4391
13,0.4778046638537676,87.159454,99.51923
14,0.4716668448004967,87.5,99.41907
15,0.4600146615352386,87.80048,99.51923
16,0.4549597670825628,88.020836,99.59936
