epoch,loss,test_acc_top1,test_acc_top5
1,2.234911946684122,16.16,66.78
2,1.5060229536600411,46.2,91.78
3,0.9599723886860535,69.12,96.58
4,0.8584173614913597,72.28,96.96
5,0.8057916493833065,74.66,97.12
6,0.7661683893958107,76.52,97.12
7,0.739489023695141,77.78,97.44
8,0.7107623735710978,79.0,97.44
9,0.6830805343408137,79.62,97.74
10,0.6781190100584179,79.8,97.76
11,0.6687663003657013,80.38,97.7
12,0.6399769272528589,81.3,98.06
13,0.627969255143404,81.66,98.04
14,0.6147819237560034,82.12,98.24
15,0.6155942225616425,82.12,98.24
16,0.6026823631852866,82.7,98.26
17,0.6109335861489177,82.64,98.2
18,0.6083926230873913,82.88,98.06
19,0.5929689443167299,83.4,98.38
20,0.5947747589271516,83.6,98.24
