epoch,loss,test_acc_top1,test_acc_top5
1,1.6793321447494702,39.282852,89.863785
2,1.1028602085052392,60.73718,95.89343
3,0.788483821046658,72.135414,98.11699
4,0.6284528619203812,78.40545,98.67789
5,0.5673825758007857,81.20994,99.03846
6,0.5520088338317015,82.8125,99.01843
7,0.542425583379391,83.55369,99.058495
8,0.5293085087950413,84.45513,99.15865
9,0.5226123751356051,84.69551,99.33894
10,0.5159527126413125,85.23638,99.33894
11,0.5021005282417322,85.69711,99.31891
12,0.4994895446759004,85.777245,99.4391
13,0.49170628514809483,86.51843,99.559296
14,0.4883443375046437,86.79888,99.559296
15,0.4805797493228546,86.85897,99.53926
16,0.4773549957153125,87.21955,99.59936
