epoch,loss,test_acc_top1,test_acc_top5
1,1.755623927483192,31.610577,88.5016
2,0.9605894600733732,65.625,96.91506
3,0.6792052697676879,76.42228,98.55769
4,0.6142721248742862,80.22836,98.81811
5,0.6075993971182749,81.8109,99.058495
6,0.6135901980675184,82.652245,99.15865
7,0.6029695436740533,83.3133,99.11859
8,0.6104476279937304,83.854164,99.15865
9,0.5996393941533871,84.85577,99.25881
10,0.5928917380097585,85.51683,99.27885
11,0.5824969754769251,85.8774,99.33894
12,0.5771937270959219,85.8774,99.479164
13,0.5745607881973951,86.61859,99.51923
14,0.5694369469315578,86.57853,99.53926
15,0.5567640878069096,87.29968,99.57933
16,0.5418728484939306,87.54006,99.59936
